lz: 407.25632621876889061 Vol: 67647212.725092113018 PE: -28572684.3629581  Pxx: 3.33470344611967e-05 Pyy: -4.17692358725329e-06 Pzz: -0.0878680884600949 
lz: 407.66358254498788938 Vol: 67663802.540543779731 PE: -28573426.8713897  Pxx: -1.61331959011354e-05 Pyy: -0.000140274931819433 Pzz: 0.113132225305323 
lz: 408.07083887120688814 Vol: 67682122.317004695535 PE: -28573955.0625045  Pxx: -8.76360792244926e-05 Pyy: 5.06885682426966e-05 Pzz: 0.304552729442985 
lz: 408.47809519742486373 Vol: 67696680.30017529428 PE: -28574260.2982921  Pxx: -5.05041886622146e-05 Pyy: -2.9379107480561e-05 Pzz: 0.483199943021342 
lz: 408.88535152364386249 Vol: 67716061.480497539043 PE: -28574385.1649307  Pxx: -3.36129637337397e-05 Pyy: 8.32103311389944e-05 Pzz: 0.686969128593625 
lz: 409.29260784986286126 Vol: 67729955.179231137037 PE: -28574356.7656604  Pxx: -6.8637831040999e-05 Pyy: -6.72073048867628e-05 Pzz: 0.857378959134482 
lz: 409.69986417608186002 Vol: 67746722.996229588985 PE: -28574250.8297026  Pxx: -5.543042125588e-05 Pyy: 7.04814244531921e-06 Pzz: 1.04700920060369 
lz: 410.10712050230085879 Vol: 67764790.546127542853 PE: -28573946.7521475  Pxx: -3.5632904546397e-05 Pyy: -4.08936845821556e-05 Pzz: 1.2329743391935 
lz: 410.51437682851889122 Vol: 67780852.478618994355 PE: -28573539.5343298  Pxx: 7.49615538591071e-06 Pyy: -0.000104856022270935 Pzz: 1.40064033680789 
lz: 410.92163315473788998 Vol: 67800568.833465158939 PE: -28573083.7736043  Pxx: 0.000151603725240818 Pyy: 3.37792599485944e-05 Pzz: 1.59368249297439 
lz: 411.32888948095688875 Vol: 67814548.907051160932 PE: -28572580.083421  Pxx: -6.4734556626427e-05 Pyy: 1.51144964579127e-05 Pzz: 1.75826676406495 
lz: 411.73614580717588751 Vol: 67830792.322934910655 PE: -28571920.5733095  Pxx: -0.000120032347736548 Pyy: -2.7931462872398e-05 Pzz: 1.93611888154035 
lz: 412.1434021333938631 Vol: 67846215.34046472609 PE: -28571187.561507  Pxx: -3.39253081226214e-05 Pyy: -0.000168400993519819 Pzz: 2.11153880773048 
lz: 412.55065845961286186 Vol: 67862669.649582237005 PE: -28570453.7152433  Pxx: -8.58998784700726e-05 Pyy: 9.58982737496193e-05 Pzz: 2.27794825832943 
lz: 412.95791478583186063 Vol: 67880535.352843403816 PE: -28569579.056575  Pxx: 8.91323238919331e-05 Pyy: 0.00016315159969179 Pzz: 2.45159979209942 
lz: 413.36517111205085939 Vol: 67898463.930150926113 PE: -28568615.735212  Pxx: 0.000113267314980447 Pyy: 7.86618132691275e-05 Pzz: 2.61600291636559 
lz: 413.77242743826889182 Vol: 67914975.375507488847 PE: -28567634.1021564  Pxx: -6.9505096121527e-05 Pyy: 4.32290936051772e-05 Pzz: 2.78344461715245 
lz: 414.17968376448789058 Vol: 67928346.390386894345 PE: -28566585.9797294  Pxx: -7.3937677558152e-05 Pyy: -7.762458759822e-05 Pzz: 2.94584097578226 
lz: 414.58694009070688935 Vol: 67947074.377068966627 PE: -28565469.8502905  Pxx: -1.90269072915667e-05 Pyy: -7.54686081407804e-05 Pzz: 3.11006939199436 
