Alloy,bindEnergy,Bulk,Volume,Re,C11,C12,C13,C33,C44
NbMo,-7.28593256586454,208.748333333333,17.0096956133747,2.80611938710184,365.3429,130.45105,130.45105,365.3429,69.06085
NbW,-8.11574668095381,220.773333333333,17.1859853138631,2.81578036182829,343.3231,159.49845,159.49845,343.3231,80.5908
NbTa,-7.72626334065219,182.237466666667,18.8649531026385,2.9046415145587,238.2178,154.2473,154.2473,238.2178,69.87255
NbV,-6.34093504804447,158.9124,16.2103040628195,2.761453178343,225.4331,125.65205,125.65205,225.4331,10.94955
MoW,-7.77055846146332,265.479733333333,16.0681651123285,2.75335826724776,423.1565,186.64135,186.64135,423.1565,114.52885
MoTa,-7.50980109054258,233.23555,17.4743326682648,2.8314408711219,356.98555,171.36055,171.36055,356.98555,66.8925
MoV,-6.17597046688723,211.974333333333,14.7014046859629,2.67296686079655,338.9932,148.4649,148.4649,338.9932,51.17765
WTa,-8.34406019412745,237.941566666667,17.6107889591246,2.83879196824012,372.0129,170.9059,170.9059,372.0129,70.7418
WV,-7.04777592093749,230.818416666667,14.8699046497778,2.6831401508352,358.30725,167.074,167.074,358.30725,34.11035
TaV,-6.59941795469019,187.256316666667,16.5683716472113,2.78163775789618,308.76645,126.50125,126.50125,308.76645,77.26715
